cpv_supp_id;cpv_order;cpv_name_bg;cpv_name_cs;cpv_name_da;cpv_name_de;cpv_name_el;cpv_name_en;cpv_name_es;cpv_name_et;cpv_name_fi;cpv_name_fr;cpv_name_ga;cpv_name_hr;cpv_name_hu;cpv_name_it;cpv_name_lt;cpv_name_lv;cpv_name_mt;cpv_name_nl;cpv_name_pl;cpv_name_pt;cpv_name_ro;cpv_name_sk;cpv_name_sl;cpv_name_sv
"BC03-0";"146";"С дървени рамки";"S dřevěnými rámy";"Med trækonstruktion";"Mit Holzrahmen";"Με ξύλινα πλαίσια";"With wooden frames";"Con armazón de madera";"Puitkarkassiga";"Puukehyksin varustettu";"Avec cadres en bois";"With wooden frames";"S drvenim okvirima";"Fakerettel";"Con intelaiatura di legno";"Mediniais rėmais";"Ar koka rāmi";"Bi frejms ta' l-injam";"Met houten kader";"Z ramkami drewnianymi";"Com armação de madeira";"Cu rame din lemn";"S drevenými rámami";"Z lesenim ogrodjem";"Med träramar"
"BC04-3";"147";"Облицован със злато";"Plátované zlatem";"Overtrukket med guld";"Mit Gold plattiert";"Με επικάλυψη χρυσού";"Clad with gold";"Chapado en oro";"Kullaga kaetud";"Kullalla pleteroitu";"Plaqué or";"Clad with gold";"Pozlaćen";"Aranybevonattal";"Placcato oro";"Plakiruotas auksu";"Plakēts ar zeltu";"Miksi bid-deheb";"Met goud geplatteerd";"Platerowane złotem";"Embrulhado com ouro";"Placat cu aur";"Plátovaný zlatom";"Platiran z zlatom";"Pläterad med guld"
"BC05-6";"148";"Облицован с платина";"Plátované platinou";"Overtrukket med platin";"Mit Platin plattiert";"Με επικάλυψη λευκόχρυσου";"Clad with platinum";"Chapado en platino";"Plaatinaga kaetud";"Platinalla pleteroitu";"Plaqué platine";"Clad with platinum";"Obložen platinom";"Platinabevonattal";"Placcato platino";"Plakiruotas platina";"Plakēts ar platīnu";"Miksi bil-platinu";"Met platina geplatteerd";"Platerowane platyną";"Embrulhado com platina";"Placat cu platină";"Plátovaný platinou";"Platiran s platino";"Pläterad med platina"
"BC06-9";"149";"Облицован със сребро";"Plátované stříbrem";"Overtrukket med sølv";"Mit Silber plattiert";"Με επικάλυψη αργύρου";"Clad with silver";"Chapado en plata";"Hõbedaga kaetud";"Hopealla pleteroitu";"Plaqué argent";"Clad with silver";"Posrebren";"Ezüstb.evonattal";"Placcato argento";"Plakiruotas sidabru";"Plakēts ar sudrabu";"Miksi bil-fidda";"Met zilver geplatteerd";"Platerowane srebrem";"Embrulhado com prata";"Placat cu argint";"Plátovaný striebrom";"Platiran s srebrom";"Pläterad med silver"
"BC07-2";"150";"Със стоманени рамки";"S ocelovými rámy";"Med stålkonstruktion";"Mit Stahlskelett";"Με χαλύβδινο πλαίσιο";"Steel-framed";"Con armazón de acero";"Terasraamis";"Teräskehyksin varustettu";"Avec cadres en acier";"Steel-framed";"S čeličnim okvirom";"Acélvázas/acélkeretes";"Con intelaiatura di acciaio";"Plieniniais rėmais";"Tērauda rāmī";"Bi frejm ta' l-azzar";"Met stalen kader";"Obramowane stalą";"Com armação de aço";"Cu structură de oţel";"V oceľovom ráme";"Z jeklenim ogrodjem";"Med stålramar"
"BC08-5";"151";"Плакиран";"Dýha";"Finér";"Furnier";"Καπλαμάς";"Veneer";"Chapa de madera";"Spoonitud";"Viilutettu";"Plaqué";"Veneer";"Furnir";"Furnírozott";"Impiallacciatura";"Faneruotas";"Finieris";"Fuljetta";"Fineer";"Fornirowane";"Folheado (madeira)";"Furnir";"Dyha";"Furnir";"Faner"
"BC09-8";"152";"Неизливан";"Netvarované";"Ikke støbt";"Nicht gegossen";"Μη χυτό";"Non-cast";"No moldeado";"Mittevalatud";"Muu kuin valettu";"Non moulé";"Non-cast";"Neizliven";"Nem öntött formában";"Non rivestito";"Nelietinis";"Neliets veidnē";"Mhux fondut";"Niet-gegoten";"Nieodlewane";"Não-fundido";"Neturnat";"Neodlievaný";"Nelit";"Ej gjuten"
"BC10-1";"153";"Тапициран";"Čalouněné";"Polstret";"Gepolstert";"Ταπετσαρισμένο";"Upholstered";"Acolchado";"Polsterdatud";"Verhoiltu";"Rembourré";"Upholstered";"Netapeciran";"Kárpitozott";"Imbottito";"Apmuštas";"Polsterēts";"Tapezzat";"Gestoffeerd";"Tapicerowane";"Estofado";"Tapiţat";"Čalúnený";"Tapeciran";"Stoppad"
"BC11-4";"154";"Отпечатан";"Tištěné";"Trykt";"Gedruckt";"Εκτυπωμένο";"Printed";"Impreso";"Trükitud";"Painettu";"Imprimé";"Printed";"Tiskan";"Nyomtatott";"Stampato";"Margintas";"Iespiests";"Stampat";"Gedrukt";"Drukowane";"Estampado";"Tipărit";"Tlačený";"Tiskan";"Med tryck"
"BC12-7";"155";"Оцветен";"Barevné";"Farvet";"Farbig";"Χρωματισμένο";"Coloured";"Coloreado";"Värvilised";"Värillinen";"Coloré";"Coloured";"Bojen";"Színes";"Colorato";"Dažytas";"Krāsains";"Ikkulurit";"Gekleurd";"Kolorowe";"Colorido";"Colorat";"Farbený";"Barvan";"Färgad"
"BC13-0";"156";"Импрегниран";"Impregnované";"Imprægneret";"Imprägniert";"Εμποτισμένο";"Impregnated";"Impregnado";"Immutatud";"Kyllästetty";"Imprégné";"Impregnated";"Impregniran";"Impregnált";"Impregnato";"Įmirkytas";"Impregnēts";"Mimli";"Geïmpregneerd";"Impregnowane";"Impregnado";"Impregnat";"Impregnovaný";"Impregniran";"Impregnerad"
"BC14-3";"157";"Сглобяем (за строителен елемент)";"Prefabrikované";"Præfabrikeret";"Vorgefertigt";"Προκατασκευασμένο";"Prefabricated";"Prefabricado";"Eeltöödeldud";"Elementti-";"Préfabriqué";"Prefabricated";"Montažni";"Előre gyártott";"Prefabbricato";"Surenkamasis";"Saliekams";"Prefabbrikat";"Geprefabriceerd";"Prefabrykowane";"Pré-fabricado";"Prefabricat";"Prefabrikovaný";"Montažen";"Prefabricerad"
"BC15-6";"158";"С пластмасово покритие";"Pokryté plastem";"Plastbelagt";"Kunststoffbeschichtet";"Με πλαστικό επικάλυμμα";"Plastic coated";"Recubierto de plástico";"Plastkattega";"Muovipäällystetty";"Recouvert de plastique";"Plastic coated";"Obložen plastikom";"Műanyag bevonattal";"Ricoperto di plastica";"Dengtas plastiku";"Pārklāts ar plastmasu";"Miksi bil-plastik";"Met kunststof coating";"Powlekane tworzywami sztucznymi";"Revestido a plástico";"Învelit în plastic";"Pokrytý plastom";"Plastificiran";"Med plastbeläggning"
"BC16-9";"159";"В торби";"V pytlích/ve vacích";"I sække eller poser af enhver art";"In Tüten";"Σε σακούλες";"In bags";"En bolsas";"Kottides";"Pusseissa";"En sachets";"In bags";"U vrećicama";"Zacskóban";"In sacchetti";"Krepšiais";"Turzās";"F' boroż";"In zakken";"W torbach";"Em sacos";"În pungi";"Vo vakoch";"V vrečkah";"I påsar"
"BC17-2";"160";"На блокове";"Blokové";"I blokke";"In Blöcken";"Σε τεμάχια";"In blocks";"En bloques";"Plokkidena";"Paloina";"En blocs";"In blocks";"U blokovima";"Tömbben";"In blocchi";"Blokais";"Klučos";"Fi blokok";"In blokken";"W blokach";"Em blocos";"În blocuri";"V blokoch";"V blokih";"I block"
"BC18-5";"161";"На плоскости";"Deskové";"I brædder, i plader";"In Platten";"Σε πλάκες";"In boards";"En planchas";"Plaatidena";"Levyinä";"En plaques";"In boards";"U pločama";"Táblában";"In tavole";"Plokštėmis";"Platēs";"Bords";"In planken/platen";"W deskach/tabliczkach";"Em pranchas";"În plăci";"V doskách";"V ploščah";"I brädor/paneler/skivor"
"BC19-8";"162";"В саламура";"Ve slaném nálevu";"I saltlage";"In Salzlake";"Σε άλμη";"In brine";"En salmuera";"Märgsoolatud";"Suolavedessä";"En saumure";"In brine";"U rasolu";"Páclében";"In salamoia";"Užpiltas sūrymu";"Sālījumā";"Fis-salmura";"Gepekeld";"W solance";"Em salmoura";"În saramură";"V slanom náleve";"V slanici";"I saltlake"
"BC20-1";"163";"В насипно състояние";"Volně ložené";"Som løsvarer";"Lose";"Χύδην";"In bulk";"A granel";"Lahtiselt";"Irtotavarana";"En vrac";"In bulk";"U rasutom stanju";"Ömlesztve";"Alla rinfusa";"Birus (nesupakuotas)";"Bez taras";"Bl-ingrossa";"In bulk";"Luzem";"Avulso";"În vrac";"Voľne ložený";"V razsutem stanju";"I lös vikt"
"BC21-4";"164";"В кашони";"V kartonech";"I kartonæsker";"In Kartons";"Σε χαρτόκουτα";"In cartons";"En cajas de cartón";"Pappkarpides";"Kartonkipakkauksissa";"En cartons";"In cartons";"U kartonima";"Kartondobozban";"In cartoni";"Kartoninėse dėžėse";"Kartona kārbās";"F'kartuniet";"In kartonnen dozen";"W pudłach kartonowych";"Em caixas de cartão";"În cartoane";"V kartónoch";"V kartonih";"I kartonger"
"BC22-7";"165";"На касети";"V kazetách";"I hylstre";"In Kassetten";"Σε φύσιγγες";"In cartridges";"En cartuchos";"Kassettidena";"Patruunoina";"En cartouches";"In cartridges";"U patronama";"Patronban";"In cartucce";"Kasetėmis";"Kasetnēs";"F'kartriġis";"In patronen";"W kasetach/we wkładach";"Em cartuchos";"În cartuşe";"V kazetách";"V kasetah";"I patroner"
"BC23-0";"166";"На парчета (без кост)";"V kusech masa bez kosti";"Udskåret og udbenet";"Ausgelöste Stücke";"Τεμαχισμένο";"In cuts";"En trozos (carne)";"Tükkidena";"Ilman luuta (liha)";"En morceaux";"In cuts";"U odrescima";"Felvágva (csont nélkül)";"In tagli (carne senza ossa)";"Dalimis";"Gabalos";"F'biċċiet";"In delen zonder been (vlees)";"W kawałkach";"Em pedaços sem osso (carne)";"Bucăţi de carne cu os";"V kusoch bez kosti";"V kosih";"I bitar utan ben"
"BC24-3";"167";"На парчета (с кост)";"V kusech masa s kostí";"Udskåret med ben";"Stücke mit Knochen";"Σε τεμάχια με κόκκαλα";"In joints";"En piezas (carne)";"Tükeldatud";"Luun kanssa (liha)";"En découpe";"In joints";"U komadima";"Darabolva (csonttal)";"In pezzi (carne con ossa)";"Kapotomis dalimis";"Gabalos ar kauliem";"F'ġonti";"In delen met been (vlees)";"W ćwiartkach";"Em pedaços com osso (carne)";"Bucăţi de carne fără os";"V kusoch s kosťou";"Narezan na kose";"I bitar med ben"
"BC25-6";"168";"На партиди";"V dílech";"I partier";"In Losen";"Σε παρτίδες";"In lots";"En lotes";"Partiides";"Erinä";"En lots";"In lots";"U partijama";"Tételben";"In lotti";"Partijomis";"Partijās";"F'lottijiet";"In partijen";"W częściach/partiach";"Em lotes";"În loturi";"V dieloch";"V svežnjih";"I partier"
"BC26-9";"169";"В течно масло";"V oleji";"I olie";"In Öl";"Σε λάδι";"In oil";"En aceite";"Õlis";"Öljyssä";"Dans l'huile";"In oil";"U ulju";"Olajban";"In olio";"Aliejuje";"Eļļā";"Fiż-żejt";"In olie";"W oleju";"Em óleo";"În ulei";"V oleji";"V olju";"I olja"
"BC27-2";"170";"На пакети";"V balíkách";"I pakker";"In Paketen";"Σε πακέτα";"In packets";"En paquetes";"Pakkides";"Paketeissa";"En paquets";"In packets";"U paketima";"Csomagban";"In pacchetti";"Pakeliais";"Pakās";"F'pakketti";"In pakjes";"W kartonach";"Em pacotes";"În pachete";"V balíkoch";"V paketih";"I paket"
"BC28-5";"171";"В торбички";"Ve váčcích";"I mindre poser";"In Beuteln";"Σε σακούλια";"In pouches";"En bolsitas";"Paunades";"Erikoispusseissa";"En étuis";"In pouches";"U torbama";"Tasakban";"In sacche";"Maišeliais";"Maisiņos";"F' pouches";"In tasjes";"W woreczkach/torebkach";"Em bolsas";"În punguţe";"V puzdrách";"V mošnjah";"I påsar/väskor"
"BC29-8";"172";"На пакети (за хартия)";"V rysech";"I ris";"In Ries";"Σε δεσμίδες";"In reams";"En resmas";"Riisidena";"Riiseinä";"En rames";"In reams";"U rizmama";"Rizsmában";"In risme";"Šūsnimis";"Rīsēs";"F'riżmi";"In riemen";"W ryzach";"Em resmas";"În stive";"V stohoch";"V risih";"I ris"
"BC30-1";"173";"На тънки пръти";"V tyčích (prutech)";"I stænger";"In Stäben";"Σε ράβδους";"In rods";"En barras";"Varrastena";"Sauvoina";"En tiges";"In rods";"U palicama";"Rudakban";"In barre";"Strypais";"Apaļstieņos";"F'vireg";"In stangen/staven";"W prętach";"Em barras";"În tije";"V tyčiach/prútoch";"V palicah";"I stänger"
"BC31-4";"174";"На рула";"V rolích";"I ruller";"In Rollen";"Σε ρολά";"In rolls";"En rollos";"Rullides";"Rullina";"En rouleaux";"In rolls";"U smotuljcima";"Tekercsekben";"In rotoli";"Ritiniais";"Ruļļos";"F'rollijiet";"Op rollen";"W rolkach/belach";"Em rolos";"În role";"V kotúčoch";"V zvitkih";"I rullar"
"BC32-7";"175";"На пликчета";"V sáčcích";"I småposer, portionspakninger";"In Päckchen";"Σε σακουλάκια";"In sachets";"En sobrecitos";"Kotikestes";"Pikkupusseissa";"En pochettes";"In sachets";"U malim vrećicama";"Kis tasakokban";"In bustine";"Pakučiais";"Paciņās";"Fi qratas";"In sachets";"W saszetkach";"Em saquetes";"În săculeţe";"Vo vreckách";"V zavojčkih";"I portionspåsar"
"BC33-0";"176";"В чували";"V pytlích";"I sække";"In Säcken";"Σε σάκους";"In sacks";"En sacos";"Suurtes kottides";"Säkeissä";"En sacs";"In sacks";"U vrećama";"Zsákban";"In sacchi";"Maišais";"Maisos";"Fi xkejjer";"In balen";"W workach";"Em sacas";"În saci";"Vo vreciach";"V vrečah";"I säckar"
"BC34-3";"177";"На листове";"V listech";"I ark eller tynde plader";"In Bogen/Platten/Laken";"Σε φύλλα";"In sheets";"En hojas";"Poognatena/lehtedena";"Arkkeina";"En feuilles";"In sheets";"U listovima";"Ívekben";"In fogli";"Lakštais";"Loksnēs";"Folji";"In vellen";"W arkuszach";"Em folhas";"În foi";"V listoch";"V polah";"I ark/plåtar"
"BC35-6";"178";"На резени";"Plátkované";"I skiver";"In Scheiben";"Σε φέτες";"In slices";"En rodajas";"Viiludena";"Viipaleina";"En tranches";"In slices";"U kriškama";"Szeletelve";"A fette";"Griežinėliais";"Šķēlēs";"Felli";"In plakjes";"W plastrach";"Às fatias";"Felii";"V plátkoch";"V rezinah";"I skivor"
"BC36-9";"179";"В разтвор";"V roztoku";"I opløsning";"In Lösung";"Σε διάλυμα";"In solution";"En solución";"Lahusena";"Liuoksessa";"En solution";"In solution";"U otopini";"Oldatban";"In soluzione";"Tirpale";"Šķīdumā";"F'soluzzjoni";"In oplossing";"W roztworze";"Em solução";"În soluţie";"V roztoku";"V raztopini";"I lösning"
"BC37-2";"180";"На ленти";"V pruzích";"I bånd eller strimler";"In Streifen";"Σε λωρίδες";"In strips";"En bandas";"Ribadena";"Kaistaleina";"En bandes";"In strips";"U vrpcama";"Csíkokban";"In strisce";"Juostelėmis";"Sloksnēs";"Fi strixxi";"In stroken";"W paskach";"Em tiras";"În benzi";"V pruhoch";"V trakovih";"I remsor"
"BC38-5";"181";"Във вода";"Ve vodě";"I vand";"In Wasser";"Σε νερό";"In water";"En agua";"Vees";"Vedessä";"À l'eau";"In water";"U vodi";"Vízben";"In acqua";"Vandenyje";"Ūdenī";"Fl-ilma";"In water";"W wodzie";"Em água";"În apă";"Vo vode";"V vodi";"I vatten"
"BC39-8";"182";"Ароматизиран";"Aromatizované";"Aromatiseret";"Gewürzt";"Αρωματισμένο";"Flavoured";"Aromatizado";"Maitsestatud";"Aromiainetta lisätty";"Aromatisé";"Flavoured";"Začinjen";"Ízesített";"Aromatizzato";"Aromatizuotas";"Aromatizēts";"Bit-togħmiet miżjuda";"Gearomatiseerd";"Aromatyzowane";"Aromatizado";"Aromatizat";"Ochutený";"Aromatiziran";"Smaksatt"
"BC40-1";"183";"От лято стъкло";"Tvarované sklo";"I formstøbt glas";"Pressglas";"Πρεσσαριστό γυαλί";"Moulded glass";"Cristal moldeado";"Pressklaasist";"Puristelasi";"Verre moulé";"Moulded glass";"Lijevano staklo";"Öntött üveg";"Barattoli di vetro";"Formuoto stiklo";"Lieta stikla";"Ħġieġ immudellat";"Gegoten glas";"Szkło prasowane";"Vidro moldado";"Sticlă turnantă";"Tvarované sklo";"Iz litega stekla";"I formgjutet glas"
"BC41-4";"184";"В консерва/кенче";"V konzervách/plechovkách";"På dåse";"In Dosen";"Σε μεταλλικό δοχείο/τσίγκινο δοχείο";"Canned/tinned";"Enlatado";"Konserveeritud";"Tölkissä/purkissa";"En conserve";"Canned/tinned";"Konzerviran/u limenkama";"Konzervdobozban/konzerves üvegben";"In scatola";"Konservuotas";"Konservu kārbās";"Fil-laned/bottijiet";"In blikjes";"W puszkach/konserwach";"Enlatado";"În conservă";"V konzerve/plechovke";"V konzervah/v pločevinkah";"Konserverad"
"BC42-7";"185";"В бутилка";"Lahvové";"På flaske";"In Flaschen";"Εμφιαλωμένο";"Bottled";"Embotellado";"Villitud";"Pullotettu";"En bouteille";"Bottled";"U bocama";"Palackozott";"Imbottigliato";"Buteliais";"Iepildīts pudelēs";"Fi fliexken";"In flessen";"Butelkowane";"Engarrafado";"În sticlă";"Fľaškovaný/fľaškový";"Ustekleničen";"På flaska"
"BC43-0";"186";"С вакуумирана опаковка";"Vakuované";"Vakuumpakket";"Vakuumverpackt";"Υπό κενό αέρα";"Vacuum-packed";"Envasado al vacío";"Vaakumpakendatud";"Tyhjiöpakkaus";"Emballé sous vide";"Vacuum-packed";"Pakirano u vakuum";"Vákuumcsomagolásban";"Sottovuoto";"Vakuuminėje pakuotėje";"Vakuumiepakojumā";"Ippakkjati f'vakum";"Vacuümverpakt";"Pakowane próżniowo";"Embalado no vácuo";"Ambalat în vid";"Vákuovo balený";"Vakuumsko pakiran";"Vakuumförpackad"
"BC44-3";"187";"Частично изпечен";"Předvařené";"Forkogt";"Vorgekocht";"Προβρασμένο";"Parboiled";"Vaporizado";"Kupatatud";"Esikeitetty";"Partiellement cuit";"Parboiled";"Djelomično kuhan";"Előfőzve";"Parzialmente cotto";"Apvirtas";"Apvārīts";"Mogħti nofs tgħollija";"Voorgekookt";"Wstępnie gotowane";"Parcialmente cozido";"Parţial fiert";"Predvarený";"Na pol skuhan";"Förkokt"
"BC45-6";"188";"Рециклиран";"Recyklované";"Genvundet";"Recyclingprodukt";"Ανακυκλωμένο";"Recycled";"Reciclado";"Taaskasutatud";"Kierrätetty";"Recyclé";"Recycled";"Recikliran";"Újrafeldolgozott";"Riciclato";"Perdirbtas (pakartotinai panaudotas)";"Otrreiz pārstrādāts";"Riċiklat";"Gerecycleerd";"Z recyklingu";"Reciclado";"Reciclat";"Recyklovaný";"Recikliran";"Återvunnet"
"BC46-9";"189";"Стерилизиран";"Sterilizované";"Steriliseret";"Sterilisiert";"Αποστειρωμένο";"Sterilised";"Esterilizado";"Steriliseeritud";"Steriloitu";"Stérilisé";"Sterilised";"Steriliziran";"Sterilizált";"Sterilizzato";"Sterilizuotas";"Sterilizēts";"Sterilizzat";"Gesteriliseerd";"Sterylizowane";"Esterilizado";"Sterilizat";"Sterilizovaný";"Steriliziran";"Steriliserad"
"BC48-5";"190";"Закален";"Tvrzené";"Hærdet";"Vorgespannt";"Σκληρυμένο";"Toughened";"Templado";"Purunemiskindlad";"Karkaistu";"Trempé";"Toughened";"Prednapet";"Edzett";"Temprato";"Grūdintas";"Rūdīts";"Mwebbes";"Gehard";"Hartowane";"Endurecido";"Durificat";"Stužený/tvrdený";"Kaljeno";"Härdad"
"CA01-3";"191";"Водонепромокаем";"Vodotěsné";"Vandtæt";"Wasserdicht";"Υδατοστεγές";"Waterproof";"Resistente al agua";"Veekindlad";"Vesitiivis";"Imperméable";"Waterproof";"Vodonepropustan";"Vízálló";"Impermeabile";"Vandeniui nelaidus";"Ūdensnecaurlaidīgs";"Ma jgħaddix ilma minnu";"Waterdicht";"Nieprzemakalne/wodoszczelne";"À prova de água";"Impermeabil";"Vodotesný";"Vodotesen";"Vattentät"
"CA02-6";"192";"Предпазващ от вятър";"Neprodyšné";"Vindtæt";"Windundurchlässig";"Αλεξήνεμο";"Windproof";"A prueba de viento";"Tuulekindlad";"Tuulenpitävä";"Coupe-vent";"Windproof";"Nepropustan za vjetar";"Szélzáró";"Antivento";"Neperpučiamas";"Vējanecaurlaidīgs";"Jilqa' għar-riħ";"Winddicht";"Wiatroszczelne";"À prova de vento";"Împotriva vântului";"Nepriedušný";"Neprepusten za veter";"Vindtät"
"CA03-9";"193";"Блиндиран";"Neprůstřelné";"Skudsikker";"Kugelsicher";"Αλεξίσφαιρο";"Bullet-proof";"Antibalas";"Kuulikindlad";"Luodinkestävä";"Pare-balles";"Bullet-proof";"Neprobojan";"Golyóálló";"Antiproiettili";"Neperšaunamas";"Ložunecaurlaidīgs";"Jilqa' għall-balal";"Kogelvrij";"Kuloodporne";"À prova de bala";"Antiglonţ";"Neprestreliteľný";"Neprebojen";"Skottsäker"
"CA04-2";"194";"Огнеупорен/невъзпламеним";"Ohnivzdorné/nehořlavé";"Brandsikker/flammesikker";"Feuersicher";"Άφλεκτο";"Fireproof/flameproof";"Ignífugo/antideflagrante";"Tulekindlad/leegikindlad";"Liekinkestävä";"Ininflammable";"Fireproof/flameproof";"Siguran od vatre/plamena";"Tűzbiztos/gyulladásbiztos";"Ignifugo";"Nedegus";"Nedegošs";"Jilqa' għan-nirien";"Brandbestendig/Vlambestendig";"Ogniotrwałe/ognioodporne";"À prova de fogo/de chamas";"Neinflamabil";"Ohňovzdorný/nehorľavý";"Ognjevaren/protieksplozijsko zaščiten";"Brandsäker/flamsäker"
"CA05-5";"195";"Неръждаем";"Nerezavějící";"Rustfri";"Rostfrei";"Ανοξείδωτο";"Stainless";"Inoxidable";"Roostevabad";"Ruostumaton";"Inoxydable";"Stainless";"Nehrđajući";"Rozsdamentes";"Inossidabile";"Nerūdijantis";"Nerūsējoša tērauda";"Ma jissaddadx";"Roestvrij";"Nierdzewne";"Inoxidável";"Inoxidabil";"Nehrdzavejúci";"Nerjaveč";"Rostfri"
"CA06-8";"196";"Разширяем";"Rozšiřitelné";"Ekspanderbar";"Erweiterbar";"Διογκούμενο";"Expandable";"Expandible";"Laiendatavad";"Paisuva/laajennettava";"Extensible";"Expandable";"Proširiv";"Nyújtható";"Espandibile";"Plėtrus";"Vairākas reizes lietojams";"Jista' jespandi";"Uitbreidbaar/Uitzetbaar";"Rozkładane";"Expansível";"Extensibil";"Roztiahnuteľný";"Razširljiv";"Expanderbar"
"CA07-1";"197";"Изолиран";"Izolované";"Isoleret";"Isoliert";"Μονωμένο";"Insulated";"Aislado";"Isoleeritud";"Eristetty";"Isolé";"Insulated";"Izoliran";"Szigetelt";"Isolato";"Izoliuotas";"Ar izolāciju";"Iżolat";"Geïsoleerd";"Izolowane";"Isolado";"Izolat";"Izolovaný";"Izoliran";"Isolerad"
"CA08-4";"198";"Неизолиран";"Neizolované";"Ikke isoleret";"Nicht isoliert";"Μη μονωμένο";"Non-insulated";"No aislado";"Isoleerimata";"Eristämätön";"Non isolé";"Non-insulated";"Neizoliran";"Nem szigetelt";"Non isolato";"Neizoliuotas";"Bez izolācijas";"Mhux iżolat";"Niet-geïsoleerd";"Nieizolowane";"Não isolado";"Neizolat";"Neizolovaný";"Neizoliran";"Ej isolerad"
"CA09-7";"199";"Труднотопим";"Žárovzdorné";"Ildfast";"Feuerfest";"Πυρίμαχο";"Refractory";"Refractario";"Kuumuskindlad";"Refraktorinen";"Réfractaire";"Refractory";"Vatrostalan";"Tűzálló/hőálló (anyag)";"Refrattario";"Atsparus ugniai";"Ugunsizturīgs";"Refrattarju";"Vuurvast";"Żaroodporne";"Refractário";"Refractar";"Žiaruvzdorný";"Ognjevzdržen";"Eldfast"
"CA10-0";"200";"Неустойчив на физикохимични реакции";"Nežárovzdorné";"Ikke ildfast";"Nicht feuerfest";"Μη πυρίμαχο";"Non-refractory";"No refractario";"Mittekuumuskindlad";"Ei refraktorinen";"Non réfractaire";"Non-refractory";"Nevatrostalan";"Nem tűzálló/hőálló (anyag)";"Non refrattario";"Neatsparus ugniai";"Ugunsneizturīgs";"Mhux refrattarju";"Niet-vuurvast";"Nieżaroodporne";"Não refractário";"Nerefractar";"Nežiaruvzdorný";"Neognjevzdržen";"Icke eldfast"
"CA11-3";"201";"Подсилен";"Vyztužené/posílené";"Forstærket, armeret";"Verstärkt";"Ενισχυμένο";"Reinforced";"Reforzado";"Tugevdatud";"Vahvistettu/lujitettu";"Renforcé";"Reinforced";"Ojačan";"Megerősített/merevített";"Rinforzato";"Sutvirtintas";"Pastiprināts";"Msaħħaħ";"Gewapend/Versterkt";"Wzmocnione";"Reforçado";"Consolidat";"Vystužený/posilnený";"Ojačen";"Förstärkt"
"CA12-6";"202";"Армиран";"Drátěné";"Trådarmeret";"Mit Drahteinlage";"Καλωδιωμένο";"Wired";"Armado";"Traatvõrguga sarrustatud";"Langattu";"Armé";"Wired";"Ožičen";"Drótozott";"Armato";"Armuotas";"Stiegrots";"Iwwajerjat";"Met draadversterking";"Zbrojone drutem";"Com arames";"Armat";"Drôtený";"Armiran";"Med trådinlägg"
"CA13-9";"203";"Абсорбиращ маслени субстанции";"Absorbující ropu";"Olieabsorberende";"Ölaufsaugend";"Ελαιοαπορροφητικό";"Oil-absorbent";"Oleoabsorbente";"Õliimavad";"Öljyä imevä";"Oléoabsorbant";"Oil-absorbent";"Koje upija ulje";"Olajfelvevő";"Oleoassorbente";"Sugeriantis aliejų";"Eļļu uzsūcošs";"Jassorbi ż-żejt";"Olie-absorberend";"Pochłaniające oleje";"Absorvente de óleo";"Oleofil";"Absorbujúci olej";"Oljevpojen";"Oljeabsorberande"
"CA14-2";"204";"Самозалепващ";"Samolepicí";"Selvklæbende";"Selbstklebend";"Αυτοκόλλητο";"Self-adhesive";"Autoadhesivo";"Isekleepuvad";"Itsekiinnittyvä";"Autoadhésif";"Self-adhesive";"Samoljepljiv";"Öntapadó";"Autoadesivo";"Lipnus";"Pašlīmējošs";"Jeħel waħdu";"Zelfklevend";"Samoprzylepne";"Auto-adesivo";"Autocolant";"Samolepiaci";"Samolepilen";"Självhäftande"
"CA15-5";"205";"Ковък";"Tažné";"Duktil";"Verformbar";"Ελατό";"Ductile";"Dúctil";"Venitatavad";"Venyvä";"Ductile";"Ductile";"Provodljiv";"Alakítható/képlékeny";"Duttile";"Kalus";"Plastisks";"Duttili";"Vervormbaar";"Ciągliwe";"Dúctil";"Ductil";"Tvárny/ťažný";"Duktilen";"Formbar"
"CA16-8";"206";"Магнитен";"Magnetické";"Magnetisk";"Magnetisch";"Μαγνητικό";"Magnetic";"Magnético";"Magnetilised";"Magneettinen";"Magnétique";"Magnetic";"Magnetni";"Mágneses";"Magnetico";"Magnetinis";"Magnētisks";"Manjetiku";"Magnetisch";"Magnetyczne";"Magnético";"Magnetic";"Magnetický";"Magneten";"Magnetisk"
"CA17-1";"207";"Екологичен";"Šetrné k životnímu prostředí";"Miljøvenlig";"Umweltfreundlich";"Φιλικό προς το περιβάλλον";"Environmentally friendly";"Ecológico";"Keskkonnasõbralikud";"Ympäristöystävällinen";"Écologique";"Environmentally friendly";"Prihvatljiv za okoliš";"Környezetbarát";"Ecologico";"Aplinkai nekenksmingas";"Ekoloģiski nekaitīgs";"Ma jagħmilx ħsara lill-ambjent";"Milieuvriendelijk";"Przyjazne dla środowiska";"Ecológico";"Ecologic";"Šetrný k životnému prostrediu";"Okolju prijazen";"Miljövänlig"
